Name,Qty,Footprint,Source,Unit Price,Price (total)
,,,,,
Fe1.1s USB Hub IC,1,ssop-28,[Aliexpress](https://s.click.aliexpress.com/e/_c3coFDb3),0.20$,0.20$
16p Type-C receptacle port,4,16p,[Aliexpress](https://s.click.aliexpress.com/e/_c3JNhMQz),0.52$,2.08$
4p Type-A female port,1,4p,[Aliexpress](https://s.click.aliexpress.com/e/_c4ryhZZn),0.51$,0.51$
USBLC6-2SC6,5,SOT-23-6,[Aliexpress](https://s.click.aliexpress.com/e/_c4aL9H4z),0.13$,1.3$
SMD capacitor 10uF,2,0603,[Aliexpress](https://s.click.aliexpress.com/e/_c42BS133),0.008$,0.80$
SMD resisotr 5.1k,8,0603,[Aliexpress](https://s.click.aliexpress.com/e/_c42BS133),0.008$,0.80$
SMD resistor 12k,1,0603,[Aliexpress](https://s.click.aliexpress.com/e/_c42BS133),0.008$,0.80$
SMD capacitor 22pF,2,0603,[Aliexpress](https://s.click.aliexpress.com/e/_c42BS133),0.008$,0.80$
Crystal oscillator,1,2016,[Aliexpress](https://s.click.aliexpress.com/e/_c2QYKExf),0.55$,1.10$
,,,,,
PCB Fabrication,5,,[JLC PCB](https://jlcpcb.com/quote),0.40$,2.00$
3D printing,1,,Local vendor,1.00$,1.00$
,,,,,
,,,Total Price(in USD),,Around 11.5$(without shiping)
